id	title	youtube_id	youtube_id_original	duration	hidden
266	Nerovnice se sčítáním a odčítáním	gWlBYg9MAGU	UTs4uZhu5t8	430	f
267	Grafické znázornění lineárních rovnic	rgvysb9emcQ	""	790	f
268	Přirozený výběr a soví motýl	dR_BFmDMRaI	""	809	f
272	Obsah pravidelného šestiúhelníku	LrxZMdQ6tiw	""	471	f
273	"Elektromotory, 3. část"	XMkUDyl1ZRo	""	401	f
274	Vize Khan Academy	CaPrP5UViXI	a6kwIBI3j98	432	f
282	Výpočítejte si BMI - index tělesné hmotnosti	5RXRr8PKunk	""	441	f
283	11 hlavních svalových skupin 	rKE63BBouP8	""	261	f
286	Liviina vila: Namalovaná zahrada	PPyqEsyVmIQ	""	244	f
287	Co je krevní tlak?	J97G6BeYW0I	""	381	f
288	Exponenty - část 1	8htcZca0JIA	""	585	f
289	Hranice produkčních možností	_7VHfuWV-Qg	""	659	f
290	Biologické druhy	Tmt4zrDK3dA	""	529	f
291	Lidská prehistorie: Prolog	Mm-IxK1GrYE	""	281	f
293	Hlava císaře Augusta	bhE7cHE4wF0	""	316	f
296	Obvod mnohoúhelníku	5ZCKr4wTQvI	""	80	f
298	Soustava dvou nerovnic	0YErxSShF0A	""	271	f
300	Parthenon: Sochy z východního štítu	Ip6hmC2KIug	""	299	f
301	Umírající Gal	3M4pu6YtzJU	""	212	f
303	Grafické znázornění soustavy nerovnic	TqsRlc02rtc	""	296	f
304	Grafické znázornění soustavy nerovnic 2	YjT3QYfoy4Q	""	204	f
305	Grafické znázornění soustavy nerovnic 3	UUwmo5qaTuI	""	457	f
306	Náklady obětované příležitosti	pkEiHZAtoro	""	349	f
307	Zvyšující se náklady obětované příležitosti	00fgAG6VrRQ	""	386	f
308	Kvadratické rovnice 	tSNtCg7o7bA	""	614	f
309	"Spirály, Fibonacci a rostliny"	ahXIMUkSXX0	""	355	f
311	"Duccio, Maesta (zadní část), 1308-11"	w6Tgu14VSLY	""	250	f
312	Naramsinova stéla	OY79AuGZDNI	""	204	f
313	"Spirály, Fibonacci a rostliny - část 2"	lOIP_Z_-0Hs	""	374	f
315	Standarta z Uru	Nok4cBt0V6w	""	529	f
316	Porovnání pronájmu a koupě domu	YL10H_EcB-E	""	580	f
321	Komplexní čísla	MEuPzvh0roM	""	141	f
322	Vyčíslování chemických rovnic	TUuABq95BBM	""	304	f
324	Co je to inflace	yahEP620480	""	210	f
326	Příklad: pravděpodobnost vytažení žluté kuličky	cdRLBOnLTDk	""	131	f
327	Proč není výraz 0 děleno 0 v matematice definovaný?	PDReqvXfkBA	""	146	f
328	Hemoglobin přenáší O2 a CO2	QP8ImP6NCk8	""	898	f
329	Pompeje: Alexandrova mozaika z Faunova domu	51UA1T89MzU	""	354	f
330	Socha spícího Erota a Staré trhovkyně	Vs2BfQ5_tjI	""	320	f
332	pH a pOH silných kyselin a zásad	tS2YJPmKOFQ	""	889	f
333	"Nalezení determinantu matice 3x3, metoda 1"	v4MenooI1J0	""	159	f
334	Pravděpodobnostní prostor	1dPMsJ7I6BY	""	169	f
335	Elektromagnet	_cSUJY7w9Kg	""	181	f
337	Objev magnetismu	IzyheHIPBXU	""	69	f
341	Sčítání a odčítání zlomků	52ZlXsFJULI	""	590	f
348	Úvod do Ekonomie	8JYP_wU1JTU	""	599	f
349	Jak vnímat umění?	0OloYD_kSbU	""	116	f
350	Konstantinova socha	MuD06cnjtAM	""	272	f
351	Sedící písař	cxs1d3N60UI	""	181	f
352	Toggler (Přepínač) Hlavolam	l3OkPYhDi9w	""	672	f
353	Sal Khan v Praze	YC4WE1cjhxU	""	260	f
355	Leonardo da Vinci - Mona Lisa	wei7uUtM4YE	3kQ_p2EZX4Q	536	f
356	Hyperinflace	AC_kjcuHpZw	""	242	f
357	Reálný a nominální výnos	cNm196bVE5A	""	191	f
358	Vztah mezi nominálním a reálným výnosem a inflací	6ycEasF48zI	""	225	f
361	Francouzská revoluce 2	0t4MF9ZoppM	""	891	f
362	"Nicolas Poussin, Krajina se svatým Janem na ostrově Patmos, 1640"	H3uBAVI4xC4	""	306	f
364	"Frida Kahlo, Frieda a Diego Rivera, 1931"	n2HWkDrorRg	""	229	f
365	"Jean-Honoré Fragonard, Houpačka, 1767"	rVI5Sjm0xKI	""	201	f
366	Seznamte se se srdcem!	Vi1JK6IYVt8	""	609	f
367	Úvod do hybnosti	XFhntPxow0U	""	558	f
368	Hlavolam: Místnost modrého čela	rBaCDC52NOY	""	445	f
369	Řešení hlavolamu: Místnost modrého čela	-xYkTJFbuM0	""	660	f
371	Riziko a odměna - úvod	mv5zucjq60k	""	699	f
372	Film Les Miserables a francouzské revoluce	I4iwhvDhvKE	""	663	f
373	Index spotřebitelských cen	pRIELoITIHI	""	929	f
374	Rozumná inflace v dobré ekonomice	Z_DcXewHHA8	""	175	f
375	Haitská revoluce 1	Qz5zFzvbib4	""	1635	f
377	Deflační spirála	snX4Wf7PGts	""	231	f
378	Dluhopisy vs. akcie	rs1md3e4aYU	""	561	f
379	"Francis Bacon, Triptych - 1972"	JZRY6Eco7BM	""	324	f
382	Práce s výrazy - dosazování 3	NEaLgGi4Vh4	""	182	f
383	Chammurapiho zákoník	JO9YxZYd0qY	_w5NGOHbgTw	213	f
384	Francouzská invaze do Ruska	F_ySQvjtAxQ	""	999	f
385	Pythagorova věta - úvod	s9t7rNhaBp8	""	514	f
386	Co to znamená kupovat firemní akcie? - verze 1	WvITkPn83gc	""	846	f
388	Konkávní čočky (rozptylky)	Vh70PyitQzo	""	186	f
389	Obraz předmětu před zrcadlem	nrOg85VPQgw	""	473	f
392	Konvexní parabolická zrcadla	dWY25vb1ZB0	""	360	f
393	Úvod do kartézských souřadnic	N4nrdf0yYfM	""	682	f
394	"Bernini, David, 1623-24"	YKzHdQKX9RA	""	235	f
395	Cenová elasticita poptávky	slP8XZ6Nq40	""	797	f
396	Krátký prodej (shorting) - základy	jAOtWm_WZiE	""	209	f
397	Krátký prodej akcií 1 (shorting stock)	-IDmLERenrU	""	572	f
398	Variace	XqQTXW7XfYA	""	611	f
399	Dovednost popisovat	h_pWZBOR4ec	""	223	f
400	Haitská revoluce (část 2)	gU-5bjpAPmA	""	1014	f
402	Krátký prodej akcií 2 (shorting stock)	ucAUriWEFo8	""	523	f
404	Je krátký prodej špatný?	zAkMhEqWFF0	""	835	f
405	Tržní kapitalizace	5lmHzAHbtzg	""	190	f
406	Tržní hodnota aktiv	nhW3Ri4b_V8	""	252	f
422	Násobení desetinného čísla mocninami deseti	mV0RxDZG05A	""	227	f
424	Trendy v periodické tabulce: Ionizační energie	5CBs36jtZxY	""	602	f
425	Hra s úhly	kqU_ymV581c	""	541	f
428	Dělení desetinného čísla	S0uuK7SQcA8	""	567	f
430	Cena a tržní kapitalizace	fa-VZ-SDxgY	""	715	f
431	Úvod do výsledovky	Z7C4cz2HkeY	""	927	f
436	Popis kružnice	U2W7HPyC0cM	""	672	f
438	Středověk a Byzantská říše	UpGsouOnxOU	""	308	f
442	Výnosy a výnosy z akcie	RouNXdkC0do	""	614	f
446	Poměr cena k zisku - úvod	cppxO67e6eo	""	887	f
447	Desetinná čísla na číselné ose	LpLnmuAyNWg	""	100	f
448	Lidská prehistorie: Utichající bouřka	T9Nw66RCMhg	""	205	f
449	Čmárací hudba	Av_Us6xHkUc	""	235	f
450	Heronův vzorec	-YI6UC4qVEY	""	283	f
451	Komplexní čísla (část 2)	bPqB9a1uk_8	""	538	f
453	Násobení matic (část 1)	aKhhYguY0DQ	""	820	f
454	Násobení matic (část 2)	OAh573i_qn8	""	877	f
455	B lymfocyty (B buňky)	Z36dUduOk1Y	""	853	f
456	Důkaz: log a + log b = log ab	FP2arCfAfBY	""	428	f
457	Bankovnictví 3: Frakční rezervní systém	nH2-37rTA8U	""	708	f
458	Rozklad kvadratických trojčlenů na součin 2	nOZTe8jU2g4	""	252	f
459	Invaze v zátoce Sviní	XmkbAduMD_E	""	822	f
460	Úvod do funkcí	VhokQhjl5t0	""	572	f
465	Early Show o Khan Academy	2sTkub_aYt4	""	208	f
466	"Spiral Jetty (spirálový hlavolam) od Smithsona, 1970"	NUu0_Zn55yM	""	225	f
467	Grafy lineárních funkcí	EmTvdKkAUtE	""	709	f
468	"Delacroix, Vraždění na Chiu - řecké rodiny očekávající smrt nebo otroctví"	CyNjK7dv-IM	""	195	f
469	Odhad s desetinnými čísly	BkwI6Uu0vi4	""	181	f
470	Polévky v konzervě Andyho Warhola: Proč je tohle umění?	J2CtQD3OLRI	""	430	f
472	Výpočet výrazů s neznámými hodnotami proměnných	TIwGXn4NalM	""	279	f
474	Khan Academy v Oaklandské střední škole v Kalifornii	2tYdClfLSCE	""	307	f
475	Plán Khan Academy pro pozitivní změny ve školách	bQ5DJUhV6vk	""	137	f
476	Eric Schmidt z Googlu o Khan Academy	_JBhxkPbijM	""	68	f
477	Lidská prehistorie: Zemědělství	IVHD9wGlbho	""	421	f
480	Exponenciální rostoucí funkce	6WMZ7J0wwMI	""	461	f
481	Transpozice matice	TZrKrNVhbjI	""	222	f
482	Determinant matice 2x2	OU9sWHk_dlw	""	70	f
483	Lidská prehistorie: Epilog	F-zRXHAo4-U	""	166	f
484	Komparativní výhoda a absolutní výhoda	xN3UV5FsBkU	""	616	f
485	Thutmose: Busta královny Nefertiti	cZuYdIRAIAs	""	241	f
487	Královna Teje	j55j1NZoAKk	""	196	f
488	Válka ve Vietnamu	9e9GWdT2pEQ	""	1061	f
492	Hvězdy	CfJzrmS9UfY	""	238	f
493	Diskuse o poměru cena k zisku P/E	V-rko8jgJ9o	""	934	f
498	Slaná jídla	O3A47Il5h1A	""	360	f
503	Úvod do práce a energie	2WS1sG9fhOk	""	558	f
504	Složky HDP	Rgr1vRjxzFg	""	298	f
505	"Boucher, Madame de Pompadour, 1750"	lnJRkY0mZh4	""	186	f
506	Elasticita nabídky	AAWsuFXojgo	""	573	f
507	Více z elasticity poptávky	YOT8ryWzwbY	""	361	f
508	Žíly a tepny - jaký je mezi nimi rozdíl?	7b6LRebCgb4	""	669	f
510	Násobení matice celým číslem	TbaltFbJ3wE	""	138	f
512	Stodenní císařství a Waterloo	ufymsKi9S3U	""	453	f
515	Řešení kvadratických rovnic rozkladem - př.2	04RpkdaNzr8	""	199	f
516	Úvod do vlastností logaritmů	PupNgv49_WY	""	556	f
517	Důkaz Pythagorovy věty pomocí Origami	z6lL83wl31E	""	194	f
519	Testování hypotéz a P-hodnota	-FtlH4svqx4	""	686	f
520	Jak na hady	Gx5D09s5X6U	""	130	f
521	Sčítání funkcí	n34dqyVCXs4	""	153	f
522	Součin funkcí	JKvmAexeMgY	""	180	f
523	Diskuse o ROA - 1.část	Oh4H3BJX1ZI	""	631	f
524	Definiční obor funkce	U-k5N1WPk4g	""	599	f
525	Khan Academy na setkání veřejných škol	TZ1CRFgBK4o	""	273	f
526	Příklad 5: házení mincí	3_otNr9kRuY	""	129	f
527	Přednáška Billa Gatese o Khan Academy	6A07Pj71TUA	""	125	f
529	The Gates Notes: Žáci  z Los Altos	q7lttowsC0Y	""	194	f
530	The Gates Notes: Pohled na pokroky studentů	zscrs94_pFc	""	151	f
534	Napoleon a válka třetí koalice	yogD_-Op4Wc	""	1312	f
535	"Brancusi, Pták v prostoru, 1928"	xWTzH7RV80g	""	159	f
536	The Gates Notes: Vedení školy z Los Altos	2DlxIXYEu4s	""	189	f
539	Červené krvinky	fLKOBQ6cZHA	""	990	f
540	Procházka starověkým Římem	e_phjB19ZEg	""	827	f
541	Převod jednotek	w0nqd_HXHPQ	""	556	f
544	"Girodet, Spánek Endymionův, 1791"	2B68DWcOLj0	""	169	f
545	Příklad: Použití soh cah toa	I3jyBUyjg48	""	245	f
546	"Warhol, Zlatá Marilyn Monroe, 1962"	lXfzq27fGvU	""	195	f
547	"Henri Matisse, Hodina klavíru, 1916"	9vI1kP-9zpw	""	247	f
548	"Henri Matisse, Červené Studio, 1911"	W-huWpNU-9w	""	551	f
549	"Donald Judd, Bez názvu, 1969"	G37C5vKCwH4	""	230	f
550	Duchampova lopata: Umění jako koncept.	MRv20I13vqM	""	608	f
551	"Caravaggio, Večeře v Emauzích, 1601"	asLQmxK7ExY	""	243	f
553	Diskuse o ROA - 2. část	R_5slDeVCQk	""	617	f
554	"Goya, Saturn požírající svého syna, 1821-23"	3Lawz8TcPig	""	205	f
555	Amortizace	XfR3JSkSkJM	""	465	f
556	Odpis	a5sFUXkxyGc	""	753	f
557	30°-60°-90° trojúhelníky II.	3mLUJSoh6i0	""	289	f
560	Úvod k 30°-60°-90° trojúhelníkům	Qwet4cIpnCM	""	579	f
562	Úvod do diferenciálních rovnic	6o7b9yyhH7k	""	470	f
563	"Caravaggio, Narcissus at the Source, 1597-99"	JrTsNuUQXzU	""	217	f
564	Zhodnocení měnové situace Číny a USA	DtlFQ_nNaQM	""	156	f
565	Efekt plovoucí měny v Číně	vrGNXAGmfCM	""	206	f
567	Záhada cena k zisku	VrFbXxkl9JU	""	821	f
568	Střed kružnice opsané trojúhelníku	KXZ6w91DioU	""	750	f
569	Monetární a fiskální politika	ntxMOKXHlfo	""	534	f
570	Investice a spotřeba	N9VIsauE0RA	""	452	f
