332	pH a pOH silných kyselin a zásad	tS2YJPmKOFQ	""	
333	"Nalezení determinantu matice 3x3, metoda 1"	v4MenooI1J0	""	
334	Pravděpodobnostní prostor	1dPMsJ7I6BY	""	
335	Elektromagnet	_cSUJY7w9Kg	""	
336	Důkaz sinové věty	APNkWrD-U1k	""	
337	Objev magnetismu	IzyheHIPBXU	""	
338	Nejmenší společný jmenovatel zlomků	Sm99cWZq8iY	lxjmR4pYIVU	
339	Příklad: Sčítání zlomků s rozdílnými jmenovateli	OVMceVL_CEQ	""	
340	Sčítání zlomků se stejnými jmenovateli	ef_00Lc47fo	EJjnEau6aeI	
341	Sčítání a odčítání zlomků	52ZlXsFJULI	""	
342	Příklad 2: Sčítání zlomků s rozdílnými jmenovateli	TuId1spuyoc	""	
343	Příklad 2: Dělení 2 zlomků	Uf9LaK74ctw	tnkPY4UqJ44	
344	Pravé a nepravé zlomky	2h8XiqSnzaU	""	
345	Příklad: Sčítání smíšených čísel	IEGsHzPAK6Y	EGy1W24EPEI	
346	Příklad: Slovní úloha na násobení 2 zlomků	n7Aw83iDAD8	YJgIGwTysk0	
347	Příklad: Poměry jako zlomky v základním tvaru	JWmCiZwoyMs	""	
348	Úvod do Ekonomie	8JYP_wU1JTU	""	
349	Jak vnímat umění?	0OloYD_kSbU	""	
350	Konstantinova socha	MuD06cnjtAM	""	
351	Sedící písař	cxs1d3N60UI	""	
352	Toggler (Přepínač) Hlavolam	l3OkPYhDi9w	""	
353	Sal Khan v Praze	YC4WE1cjhxU	""	
354	Příklad 2: Převod desetinného čísla na smíšené číslo	NzIoHQfStoM	""	
355	Leonardo da Vinci - Mona Lisa	wei7uUtM4YE	3kQ_p2EZX4Q	
356	Hyperinflace	AC_kjcuHpZw	""	
357	Reálný a nominální výnos	cNm196bVE5A	""	
358	Vztah mezi nominálním a reálným výnosem a inflací	6ycEasF48zI	""	
359	Základní věta aritmetiky	8CluknrLeys	""	
360	Šifrovací stroj Enigma	2cqbeSVhLBM	""	
361	Francouzská revoluce 2	0t4MF9ZoppM	""	
362	"Nicolas Poussin, Krajina se svatým Janem na ostrově Patmos, 1640"	H3uBAVI4xC4	""	
363	Šifrování s veřejným klíčem	ko62sibi668	""	
364	"Frida Kahlo, Frieda a Diego Rivera, 1931"	n2HWkDrorRg	""	
365	"Jean-Honoré Fragonard, Houpačka, 1767"	rVI5Sjm0xKI	""	
366	Seznamte se se srdcem!	Vi1JK6IYVt8	""	
367	Úvod do hybnosti	XFhntPxow0U	""	
368	Hlavolam: Místnost modrého čela	rBaCDC52NOY	""	
369	Řešení hlavolamu: Místnost modrého čela	-xYkTJFbuM0	""	
370	Diskrétní logaritmus	bjWOG50PfdI	""	
371	Riziko a odměna - úvod	mv5zucjq60k	""	
372	Film Les Miserables a francouzské revoluce	I4iwhvDhvKE	""	
373	Index spotřebitelských cen	pRIELoITIHI	""	
374	Rozumná inflace v dobré ekonomice	Z_DcXewHHA8	""	
375	Haitská revoluce 1	Qz5zFzvbib4	""	
376	Diffie-Hellmanova výměna klíče	dRUVG7YI1_k	""	
377	Deflační spirála	snX4Wf7PGts	""	
